,time,mph,acceleration
0,0.0,0.0,0.0
1,0.5,0.0,0.0
2,1.0,0.0,0.0
3,1.5,0.0,0.0
4,2.0,0.0,1.0
5,2.5,1.0,2.0
6,3.0,2.0,2.45
7,3.5,3.45,2.9000000000000004
8,4.0,4.9,3.05
9,4.5,6.5,3.1999999999999993
10,5.0,8.1,3.1999999999999993
11,5.5,9.7,3.200000000000001
12,6.0,11.3,3.200000000000001
13,6.5,12.9,3.1999999999999993
14,7.0,14.5,3.0
15,7.5,15.9,2.8000000000000007
16,8.0,17.3,2.5500000000000025
17,8.5,18.450000000000003,2.3000000000000007
18,9.0,19.6,2.25
19,9.5,20.700000000000003,2.1999999999999993
20,10.0,21.8,2.1999999999999957
21,10.5,22.9,2.1999999999999993
22,11.0,24.0,2.0
23,11.5,24.9,1.8000000000000007
24,12.0,25.8,1.5500000000000043
25,12.5,26.450000000000003,1.3000000000000007
26,13.0,27.1,1.0999999999999979
27,13.5,27.55,0.8999999999999986
28,14.0,28.0,0.9499999999999993
29,14.5,28.5,1.0
30,15.0,29.0,1.0
31,15.5,29.5,1.0
32,16.0,30.0,0.8500000000000014
33,16.5,30.35,0.6999999999999993
34,17.0,30.7,0.75
35,17.5,31.1,0.8000000000000007
36,18.0,31.5,0.75
37,18.5,31.85,0.7000000000000028
38,19.0,32.2,0.6999999999999957
39,19.5,32.55,0.6999999999999957
40,20.0,32.9,0.6500000000000057
41,20.5,33.2,0.6000000000000014
42,21.0,33.5,0.5999999999999943
43,21.5,33.8,0.6000000000000014
44,22.0,34.1,0.5500000000000043
45,22.5,34.35,0.5
46,23.0,34.6,0.3999999999999986
47,23.5,34.75,0.29999999999999716
48,24.0,34.9,0.25
49,24.5,35.0,0.20000000000000284
50,25.0,35.1,0.4000000000000057
51,25.5,35.400000000000006,0.6000000000000014
52,26.0,35.7,0.3999999999999915
53,26.5,35.8,0.19999999999999574
54,27.0,35.9,0.04999999999999716
55,27.5,35.849999999999994,-0.10000000000000142
56,28.0,35.8,-0.29999999999999716
57,28.5,35.55,-0.5
58,29.0,35.3,-0.45000000000000284
59,29.5,35.099999999999994,-0.3999999999999986
60,30.0,34.9,-0.3999999999999915
61,30.5,34.7,-0.3999999999999986
62,31.0,34.5,-0.15000000000000568
63,31.5,34.55,0.10000000000000142
64,32.0,34.6,0.15000000000000568
65,32.5,34.7,0.19999999999999574
66,33.0,34.8,0.25
67,33.5,34.95,0.30000000000000426
68,34.0,35.1,0.45000000000000284
69,34.5,35.400000000000006,0.6000000000000014
70,35.0,35.7,0.5
71,35.5,35.900000000000006,0.3999999999999986
72,36.0,36.1,0.25
73,36.5,36.150000000000006,0.10000000000000142
74,37.0,36.2,0.19999999999999574
75,37.5,36.35,0.29999999999999716
76,38.0,36.5,0.25
77,38.5,36.6,0.20000000000000284
78,39.0,36.7,0.19999999999999574
79,39.5,36.8,0.19999999999999574
80,40.0,36.9,0.15000000000000568
81,40.5,36.95,0.10000000000000142
82,41.0,37.0,0.04999999999999716
83,41.5,37.0,0.0
84,42.0,37.0,0.0
85,42.5,37.0,0.0
86,43.0,37.0,0.0
87,43.5,37.0,0.0
88,44.0,37.0,0.0
89,44.5,37.0,0.0
90,45.0,37.0,0.0
91,45.5,37.0,0.0
92,46.0,37.0,0.04999999999999716
93,46.5,37.05,0.10000000000000142
94,47.0,37.1,0.15000000000000568
95,47.5,37.2,0.19999999999999574
96,48.0,37.3,0.3499999999999943
97,48.5,37.55,0.5
98,49.0,37.8,0.6500000000000057
99,49.5,38.2,0.8000000000000043
100,50.0,38.6,0.75
101,50.5,38.95,0.6999999999999957
102,51.0,39.3,0.6999999999999957
103,51.5,39.65,0.7000000000000028
104,52.0,40.0,0.7000000000000028
105,52.5,40.35,0.7000000000000028
106,53.0,40.7,0.6999999999999957
107,53.5,41.05,0.6999999999999957
108,54.0,41.4,0.75
109,54.5,41.8,0.8000000000000043
110,55.0,42.2,0.75
111,55.5,42.55,0.6999999999999957
112,56.0,42.9,0.6500000000000057
113,56.5,43.2,0.6000000000000014
114,57.0,43.5,0.5499999999999972
115,57.5,43.75,0.5
116,58.0,44.0,0.3999999999999986
117,58.5,44.15,0.29999999999999716
118,59.0,44.3,0.25
119,59.5,44.4,0.20000000000000284
120,60.0,44.5,0.25
121,60.5,44.65,0.29999999999999716
122,61.0,44.8,0.19999999999999574
123,61.5,44.849999999999994,0.10000000000000142
124,62.0,44.9,0.10000000000000853
125,62.5,44.95,0.10000000000000142
126,63.0,45.0,0.09999999999999432
127,63.5,45.05,0.10000000000000142
128,64.0,45.1,0.20000000000000284
129,64.5,45.25,0.29999999999999716
130,65.0,45.4,0.29999999999999716
131,65.5,45.55,0.30000000000000426
132,66.0,45.7,0.30000000000000426
133,66.5,45.85,0.29999999999999716
134,67.0,46.0,0.29999999999999716
135,67.5,46.15,0.29999999999999716
136,68.0,46.3,0.25
137,68.5,46.4,0.20000000000000284
138,69.0,46.5,0.25
139,69.5,46.65,0.29999999999999716
140,70.0,46.8,0.19999999999999574
141,70.5,46.849999999999994,0.10000000000000142
142,71.0,46.9,0.10000000000000853
143,71.5,46.95,0.10000000000000142
144,72.0,47.0,0.09999999999999432
145,72.5,47.05,0.10000000000000142
146,73.0,47.1,0.10000000000000853
147,73.5,47.150000000000006,0.10000000000000142
148,74.0,47.2,0.09999999999999432
149,74.5,47.25,0.09999999999999432
150,75.0,47.3,0.0
151,75.5,47.25,-0.09999999999999432
152,76.0,47.2,-0.09999999999999432
153,76.5,47.150000000000006,-0.10000000000000142
154,77.0,47.1,-0.10000000000000853
155,77.5,47.05,-0.10000000000000142
156,78.0,47.0,-0.09999999999999432
157,78.5,46.95,-0.10000000000000142
158,79.0,46.9,-0.05000000000000426
159,79.5,46.9,0.0
160,80.0,46.9,0.0
161,80.5,46.9,0.0
162,81.0,46.9,0.05000000000000426
163,81.5,46.95,0.10000000000000142
164,82.0,47.0,0.09999999999999432
165,82.5,47.05,0.10000000000000142
166,83.0,47.1,0.05000000000000426
167,83.5,47.1,0.0
168,84.0,47.1,0.05000000000000426
169,84.5,47.150000000000006,0.10000000000000142
170,85.0,47.2,0.0
171,85.5,47.150000000000006,-0.10000000000000142
172,86.0,47.1,-0.10000000000000853
173,86.5,47.05,-0.10000000000000142
174,87.0,47.0,-0.09999999999999432
175,87.5,46.95,-0.10000000000000142
176,88.0,46.9,-0.25
177,88.5,46.7,-0.3999999999999986
178,89.0,46.5,-0.30000000000000426
179,89.5,46.4,-0.20000000000000284
180,90.0,46.3,-0.14999999999999858
181,90.5,46.25,-0.09999999999999432
182,91.0,46.2,0.0
